Name,Survived,Gender,Age,Traveling_Alone,Ticket_Fare(lbs)
"Franklin, Mr. Thomas Parham",No,Male,,Alone,26.55
"Frauenthal, Dr. Henry William",Yes,Male,50,Not_Alone,133.65
"Frauenthal, Mr. Isaac Gerald",Yes,Male,43,Not_Alone,27.7208
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Yes,Female,,Not_Alone,133.65
"Frolicher, Miss. Hedwig Margaritha",Yes,Female,22,Not_Alone,49.5
"Frolicher-Stehli, Mr. Maxmillian",Yes,Male,60,Not_Alone,79.2
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",Yes,Female,48,Not_Alone,79.2
"Fry, Mr. Richard",No,Male,,Alone,0
"Futrelle, Mr. Jacques Heath",No,Male,37,Not_Alone,53.1
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Yes,Female,35,Not_Alone,53.1
"Gee, Mr. Arthur H",No,Male,47,Alone,38.5
"Geiger, Miss. Amalie",Yes,Female,35,Alone,211.5
"Gibson, Miss. Dorothy Winifred",Yes,Female,22,Not_Alone,59.4
"Gibson, Mrs. Leonard (Pauline C Boeson)",Yes,Female,45,Not_Alone,59.4
"Giglio, Mr. Victor",No,Male,24,Alone,79.2
"Goldenberg, Mr. Samuel L",Yes,Male,49,Not_Alone,89.1042
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Yes,Female,,Not_Alone,89.1042
"Goldschmidt, Mr. George B",No,Male,71,Alone,34.6542
"Gracie, Col. Archibald IV",Yes,Male,53,Alone,28.5
"Graham, Miss. Margaret Edith",Yes,Female,19,Alone,30
"Graham, Mr. George Edward",No,Male,38,Not_Alone,153.4625
"Graham, Mrs. William Thompson (Edith Junkins)",Yes,Female,58,Not_Alone,153.4625
"Greenfield, Mr. William Bertram",Yes,Male,23,Not_Alone,63.3583
"Greenfield, Mrs. Leo David (Blanche Strouse)",Yes,Female,45,Not_Alone,63.3583
"Guggenheim, Mr. Benjamin",No,Male,46,Alone,79.2
"Harder, Mr. George Achilles",Yes,Male,25,Not_Alone,55.4417
"Harder, Mrs. George Achilles (Dorothy Annan)",Yes,Female,25,Not_Alone,55.4417
"Harper, Mr. Henry Sleeper",Yes,Male,48,Not_Alone,76.7292
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Yes,Female,49,Not_Alone,76.7292
"Harrington, Mr. Charles H",No,Male,,Alone,42.4
"Harris, Mr. Henry Birkhardt",No,Male,45,Not_Alone,83.475
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Yes,Female,35,Not_Alone,83.475
"Harrison, Mr. William",No,Male,40,Alone,0
"Hassab, Mr. Hammad",Yes,Male,27,Alone,76.7292
"Hawksford, Mr. Walter James",Yes,Male,,Alone,30
"Hays, Miss. Margaret Bechstein",Yes,Female,24,Alone,83.1583
"Hays, Mr. Charles Melville",No,Male,55,Not_Alone,93.5
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Yes,Female,52,Not_Alone,93.5
"Head, Mr. Christopher",No,Male,42,Alone,42.5
"Hilliard, Mr. Herbert Henry",No,Male,,Alone,51.8625
"Hipkins, Mr. William Edward",No,Male,55,Alone,50
"Hippach, Miss. Jean Gertrude",Yes,Female,16,Not_Alone,57.9792
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Yes,Female,44,Not_Alone,57.9792
"Hogeboom, Mrs. John C (Anna Andrews)",Yes,Female,51,Not_Alone,77.9583
"Holverson, Mr. Alexander Oskar",No,Male,42,Not_Alone,52
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Yes,Female,35,Not_Alone,52
"Homer, Mr. Harry (""Mr E Haven"")",Yes,Male,35,Alone,26.55
"Hoyt, Mr. Frederick Maxfield",Yes,Male,38,Not_Alone,90
"Hoyt, Mr. William Fisher",No,Male,,Alone,30.6958
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Yes,Female,35,Not_Alone,90
"Icard, Miss. Amelie",Yes,Female,38,Alone,80
"Isham, Miss. Ann Elizabeth",No,Female,50,Alone,28.7125
"Ismay, Mr. Joseph Bruce",Yes,Male,49,Alone,0
"Jones, Mr. Charles Cresson",No,Male,46,Alone,26
"Julian, Mr. Henry Forbes",No,Male,50,Alone,26
"Keeping, Mr. Edwin",No,Male,32.5,Alone,211.5
"Kent, Mr. Edward Austin",No,Male,58,Alone,29.7
"Kenyon, Mr. Frederick R",No,Male,41,Not_Alone,51.8625
"Kenyon, Mrs. Frederick R (Marion)",Yes,Female,,Not_Alone,51.8625
"Kimball, Mr. Edwin Nelson Jr",Yes,Male,42,Not_Alone,52.5542
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",Yes,Female,45,Not_Alone,52.5542
"Klaber, Mr. Herman",No,Male,,Alone,26.55
"Kreuchen, Miss. Emilie",Yes,Female,39,Alone,211.3375
"Leader, Dr. Alice (Farnham)",Yes,Female,49,Alone,25.9292
"LeRoy, Miss. Bertha",Yes,Female,30,Alone,106.425
"Lesurer, Mr. Gustave J",Yes,Male,35,Alone,
"Lewy, Mr. Ervin G",No,Male,,Alone,27.7208
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",No,Male,42,Alone,26.55
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",Yes,Female,55,Alone,27.7208
"Lines, Miss. Mary Conover",Yes,Female,16,Not_Alone,39.4
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",Yes,Female,51,Not_Alone,39.4
"Long, Mr. Milton Clyde",No,Male,29,Alone,30
"Longley, Miss. Gretchen Fiske",Yes,Female,21,Alone,77.9583
"Loring, Mr. Joseph Holland",No,Male,30,Alone,45.5
"Lurette, Miss. Elise",Yes,Female,58,Alone,146.5208
"Madill, Miss. Georgette Alexandra",Yes,Female,15,Not_Alone,211.3375
"Maguire, Mr. John Edward",No,Male,30,Alone,26
"Maioni, Miss. Roberta",Yes,Female,16,Alone,86.5
"Marechal, Mr. Pierre",Yes,Male,,Alone,29.7
"Marvin, Mr. Daniel Warner",No,Male,19,Not_Alone,53.1
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",Yes,Female,18,Not_Alone,53.1
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Yes,Female,24,Alone,49.5042
"McCaffry, Mr. Thomas Francis",No,Male,46,Alone,75.2417
"McCarthy, Mr. Timothy J",No,Male,54,Alone,51.8625
"McGough, Mr. James Robert",Yes,Male,36,Alone,26.2875
"Meyer, Mr. Edgar Joseph",No,Male,28,Not_Alone,82.1708
"Meyer, Mrs. Edgar Joseph (Leila Saks)",Yes,Female,,Not_Alone,82.1708
"Millet, Mr. Francis Davis",No,Male,65,Alone,26.55
"Minahan, Dr. William Edward",No,Male,44,Not_Alone,90
"Minahan, Miss. Daisy E",Yes,Female,33,Not_Alone,90
"Minahan, Mrs. William Edward (Lillian E Thorpe)",Yes,Female,37,Not_Alone,90
"Mock, Mr. Philipp Edmund",Yes,Male,30,Not_Alone,57.75
"Molson, Mr. Harry Markland",No,Male,55,Alone,30.5
"Moore, Mr. Clarence Bloomfield",No,Male,47,Alone,42.4
"Natsch, Mr. Charles H",No,Male,37,Not_Alone,29.7
"Newell, Miss. Madeleine",Yes,Female,31,Not_Alone,113.275
"Newell, Miss. Marjorie",Yes,Female,23,Not_Alone,113.275
"Newell, Mr. Arthur Webster",No,Male,58,Not_Alone,113.275
"Newsom, Miss. Helen Monypeny",Yes,Female,19,Not_Alone,26.2833
"Nicholson, Mr. Arthur Ernest",No,Male,64,Alone,26
"Oliva y Ocana, Dona. Fermina",Yes,Female,39,Alone,108.9
"Omont, Mr. Alfred Fernand",Yes,Male,,Alone,25.7417
"Ostby, Miss. Helene Ragnhild",Yes,Female,22,Not_Alone,61.9792
"Ostby, Mr. Engelhart Cornelius",No,Male,65,Not_Alone,61.9792
"Ovies y Rodriguez, Mr. Servando",No,Male,28.5,Alone,27.7208
"Parr, Mr. William Henry Marsh",No,Male,,Alone,0
"Partner, Mr. Austen",No,Male,45.5,Alone,28.5
"Payne, Mr. Vivian Ponsonby",No,Male,23,Alone,93.5
"Pears, Mr. Thomas Clinton",No,Male,29,Not_Alone,66.6
"Pears, Mrs. Thomas (Edith Wearne)",Yes,Female,22,Not_Alone,66.6
"Penasco y Castellana, Mr. Victor de Satode",No,Male,18,Not_Alone,108.9
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Yes,Female,17,Not_Alone,108.9
"Perreault, Miss. Anne",Yes,Female,30,Alone,93.5
"Peuchen, Major. Arthur Godfrey",Yes,Male,52,Alone,30.5
"Porter, Mr. Walter Chamberlain",No,Male,47,Alone,52
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",Yes,Female,56,Not_Alone,83.1583
"Reuchlin, Jonkheer. John George",No,Male,38,Alone,0
"Rheims, Mr. George Alexander Lucien",Yes,Male,,Alone,39.6
"Ringhini, Mr. Sante",No,Male,22,Alone,135.6333
"Robbins, Mr. Victor",No,Male,,Alone,227.525
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Yes,Female,43,Not_Alone,211.3375
"Roebling, Mr. Washington Augustus II",No,Male,31,Alone,50.4958
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Yes,Male,45,Alone,26.55
"Rood, Mr. Hugh Roscoe",No,Male,,Alone,50
"Rosenbaum, Miss. Edith Louise",Yes,Female,33,Alone,27.7208
"Rosenshine, Mr. George (""Mr George Thorne"")",No,Male,46,Alone,79.2
"Ross, Mr. John Hugo",No,Male,36,Alone,40.125
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Yes,Female,33,Alone,86.5
"Rothschild, Mr. Martin",No,Male,55,Not_Alone,59.4
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Yes,Female,54,Not_Alone,59.4
"Rowe, Mr. Alfred G",No,Male,33,Alone,26.55
"Ryerson, Master. John Borie",Yes,Male,13,Not_Alone,262.375
"Ryerson, Miss. Emily Borie",Yes,Female,18,Not_Alone,262.375
"Ryerson, Miss. Susan Parker ""Suzette""",Yes,Female,21,Not_Alone,262.375
"Ryerson, Mr. Arthur Larned",No,Male,61,Not_Alone,262.375
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",Yes,Female,48,Not_Alone,262.375
"Saalfeld, Mr. Adolphe",Yes,Male,,Alone,30.5
"Sagesser, Mlle. Emma",Yes,Female,24,Alone,69.3
"Salomon, Mr. Abraham L",Yes,Male,,Alone,26
"Schabert, Mrs. Paul (Emma Mock)",Yes,Female,35,Not_Alone,57.75
"Serepeca, Miss. Augusta",Yes,Female,30,Alone,31
"Seward, Mr. Frederic Kimber",Yes,Male,34,Alone,26.55
"Shutes, Miss. Elizabeth W",Yes,Female,40,Alone,153.4625
"Silverthorne, Mr. Spencer Victor",Yes,Male,35,Alone,26.2875
"Silvey, Mr. William Baird",No,Male,50,Not_Alone,55.9
"Silvey, Mrs. William Baird (Alice Munger)",Yes,Female,39,Not_Alone,55.9
"Simonius-Blumer, Col. Oberst Alfons",Yes,Male,56,Alone,35.5
"Sloper, Mr. William Thompson",Yes,Male,28,Alone,35.5
"Smart, Mr. John Montgomery",No,Male,56,Alone,26.55
"Smith, Mr. James Clinch",No,Male,56,Alone,30.6958
"Smith, Mr. Lucien Philip",No,Male,24,Not_Alone,60
"Smith, Mr. Richard William",No,Male,,Alone,26
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",Yes,Female,18,Not_Alone,60
"Snyder, Mr. John Pillsbury",Yes,Male,24,Not_Alone,82.2667
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",Yes,Female,23,Not_Alone,82.2667
"Spedden, Master. Robert Douglas",Yes,Male,6,Not_Alone,134.5
"Spedden, Mr. Frederic Oakley",Yes,Male,45,Not_Alone,134.5
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Yes,Female,40,Not_Alone,134.5
"Spencer, Mr. William Augustus",No,Male,57,Not_Alone,146.5208
"Spencer, Mrs. William Augustus (Marie Eugenie)",Yes,Female,,Not_Alone,146.5208
"Stahelin-Maeglin, Dr. Max",Yes,Male,32,Alone,30.5
"Stead, Mr. William Thomas",No,Male,62,Alone,26.55
"Stengel, Mr. Charles Emil Henry",Yes,Male,54,Not_Alone,55.4417
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",Yes,Female,43,Not_Alone,55.4417
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Yes,Female,52,Not_Alone,78.2667
"Stewart, Mr. Albert A",No,Male,,Alone,27.7208
"Stone, Mrs. George Nelson (Martha Evelyn)",Yes,Female,62,Alone,80
"Straus, Mr. Isidor",No,Male,67,Not_Alone,221.7792
"Straus, Mrs. Isidor (Rosalie Ida Blun)",No,Female,63,Not_Alone,221.7792
"Sutton, Mr. Frederick",No,Male,61,Alone,32.3208
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Yes,Female,48,Alone,25.9292
"Taussig, Miss. Ruth",Yes,Female,18,Not_Alone,79.65
"Taussig, Mr. Emil",No,Male,52,Not_Alone,79.65
"Taussig, Mrs. Emil (Tillie Mandelbaum)",Yes,Female,39,Not_Alone,79.65
"Taylor, Mr. Elmer Zebley",Yes,Male,48,Not_Alone,52
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Yes,Female,,Not_Alone,52
"Thayer, Mr. John Borland",No,Male,49,Not_Alone,110.8833
"Thayer, Mr. John Borland Jr",Yes,Male,17,Not_Alone,110.8833
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Yes,Female,39,Not_Alone,110.8833
"Thorne, Mrs. Gertrude Maybelle",Yes,Female,,Alone,79.2
"Tucker, Mr. Gilbert Milligan Jr",Yes,Male,31,Alone,28.5375
"Uruchurtu, Don. Manuel E",No,Male,40,Alone,27.7208
"Van der hoef, Mr. Wyckoff",No,Male,61,Alone,33.5
"Walker, Mr. William Anderson",No,Male,47,Alone,34.0208
"Ward, Miss. Anna",Yes,Female,35,Alone,
"Warren, Mr. Frank Manley",No,Male,64,Not_Alone,75.25
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Yes,Female,60,Not_Alone,75.25
"Weir, Col. John",No,Male,60,Alone,26.55
"White, Mr. Percival Wayland",No,Male,54,Not_Alone,77.2875
"White, Mr. Richard Frasar",No,Male,21,Not_Alone,77.2875
"White, Mrs. John Stuart (Ella Holmes)",Yes,Female,55,Alone,135.6333
"Wick, Miss. Mary Natalie",Yes,Female,31,Not_Alone,164.8667
"Wick, Mr. George Dennick",No,Male,57,Not_Alone,164.8667
"Wick, Mrs. George Dennick (Mary Hitchcock)",Yes,Female,45,Not_Alone,164.8667
"Widener, Mr. George Dunton",No,Male,50,Not_Alone,211.5
"Widener, Mr. Harry Elkins",No,Male,27,Not_Alone,211.5
"Widener, Mrs. George Dunton (Eleanor Elkins)",Yes,Female,50,Not_Alone,211.5
"Willard, Miss. Constance",Yes,Female,21,Alone,26.55
"Williams, Mr. Charles Duane",No,Male,51,Not_Alone,61.3792
"Williams, Mr. Richard Norris II",Yes,Male,21,Not_Alone,61.3792
"Williams-Lambert, Mr. Fletcher Fellows",No,Male,,Alone,35
"Wilson, Miss. Helen Alice",Yes,Female,31,Alone,134.5
"Woolner, Mr. Hugh",Yes,Male,,Alone,35.5
"Wright, Mr. George",No,Male,62,Alone,26.55
"Young, Miss. Marie Grice",Yes,Female,36,Alone,135.6333
"Abelson, Mr. Samuel",No,Male,30,Not_Alone,24
"Abelson, Mrs. Samuel (Hannah Wizosky)",Yes,Female,28,Not_Alone,24
"Aldworth, Mr. Charles Augustus",No,Male,30,Alone,13
"Andrew, Mr. Edgardo Samuel",No,Male,18,Alone,11.5
"Andrew, Mr. Frank Thomas",No,Male,25,Alone,10.5
"Angle, Mr. William A",No,Male,34,Not_Alone,26
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Yes,Female,36,Not_Alone,26
"Ashby, Mr. John",No,Male,57,Alone,13
"Bailey, Mr. Percy Andrew",No,Male,18,Alone,11.5
"Baimbrigge, Mr. Charles Robert",No,Male,23,Alone,10.5
"Ball, Mrs. (Ada E Hall)",Yes,Female,36,Alone,13
"Banfield, Mr. Frederick James",No,Male,28,Alone,10.5
"Bateman, Rev. Robert James",No,Male,51,Alone,12.525
"Beane, Mr. Edward",Yes,Male,32,Not_Alone,26
"Beane, Mrs. Edward (Ethel Clarke)",Yes,Female,19,Not_Alone,26
"Beauchamp, Mr. Henry James",No,Male,28,Alone,26
"Becker, Master. Richard F",Yes,Male,1,Not_Alone,39
"Becker, Miss. Marion Louise",Yes,Female,4,Not_Alone,39
"Becker, Miss. Ruth Elizabeth",Yes,Female,12,Not_Alone,39
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",Yes,Female,36,Not_Alone,39
"Beesley, Mr. Lawrence",Yes,Male,34,Alone,13
"Bentham, Miss. Lilian W",Yes,Female,19,Alone,13
"Berriman, Mr. William John",No,Male,23,Alone,13
"Botsford, Mr. William Hull",No,Male,26,Alone,13
"Bowenur, Mr. Solomon",No,Male,42,Alone,13
"Bracken, Mr. James H",No,Male,27,Alone,13
"Brown, Miss. Amelia ""Mildred""",Yes,Female,24,Alone,13
"Brown, Miss. Edith Eileen",Yes,Female,15,Not_Alone,39
"Brown, Mr. Thomas William Solomon",No,Male,60,Not_Alone,39
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Yes,Female,40,Not_Alone,39
"Bryhl, Miss. Dagmar Jenny Ingeborg",Yes,Female,20,Not_Alone,26
"Bryhl, Mr. Kurt Arnold Gottfrid",No,Male,25,Not_Alone,26
"Buss, Miss. Kate",Yes,Female,36,Alone,13
"Butler, Mr. Reginald Fenton",No,Male,25,Alone,13
"Byles, Rev. Thomas Roussel Davids",No,Male,42,Alone,13
"Bystrom, Mrs. (Karolina)",Yes,Female,42,Alone,13
"Caldwell, Master. Alden Gates",Yes,Male,0,Not_Alone,29
"Caldwell, Mr. Albert Francis",Yes,Male,26,Not_Alone,29
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",Yes,Female,22,Not_Alone,29
"Cameron, Miss. Clear Annie",Yes,Female,35,Alone,21
"Campbell, Mr. William",No,Male,,Alone,0
"Carbines, Mr. William",No,Male,19,Alone,13
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",No,Female,44,Not_Alone,26
"Carter, Rev. Ernest Courtenay",No,Male,54,Not_Alone,26
"Chapman, Mr. Charles Henry",No,Male,52,Alone,13.5
"Chapman, Mr. John Henry",No,Male,37,Not_Alone,26
